icao;airport
SBJU;Juazeiro do Norte Airport
SBJV;Joinville-Lauro Carneiro de Loyola Airport
SBKG;Campina Grande Airport (Presidente Joao Suassuna Airport)
SBKP;Viracopos-Campinas International Airport
SBLE;Coronel Horacio de Mattos Airport
SBLJ;Antonio Correia Pinto de Macedo Airport
SBLN;Lins Airport
SBLO;Londrina-Governador Jose Richa Airport
SBLP;Bom Jesus da Lapa Airport
SBMA;Joao Correa da Rocha Airport
SBMC;Minacu Airport
SBMD;Serra do Areao Airport
SBME;Benedito Lacerda Airport
SBMG;Silvio Name Junior Regional Airport
SBMK;Montes Claros/Mario Ribeiro Airport
SBML;Frank Miloye Milenkowichi-Marilia State Airport
SBMN;Manaus Air Force Base
SBMO;Zumbi dos Palmares International Airport
SBMQ;Alberto Alcolumbre International Airport
SBMS;Gov. Dix-Sept Rosado Airport
SBMY;Manicore Airport
SBNF;Navegantes-Ministro Victor Konder International Airport
SBNM;Sepe Tiaraju Airport
SBNT;Sao Goncalo do Amarante-Governador Aluizio Alves International Airport
SBOI;Oiapoque Airport
SBPA;Salgado Filho International Airport
SBPB;Parnaiba-Prefeito Dr. Joao Silva Filho International Airport
SBPC;Pocos de Caldas Airport
SBPF;Lauro Kurtz Airport
SBPJ;Palmas-Brigadeiro Lysias Rodrigues Airport
SBPK;Joao Simoes Lopes Neto International Airport
SBPL;Senador Nilo Coelho Airport
SBPN;Porto Nacional Airport
SBPP;Ponta Pora International Airport
SBPS;Porto Seguro Airport
SBPV;Governador Jorge Teixeira de Oliveira International Airport
SBQV;Pedro Otacilio Figueiredo Airport
SBRB;Placido de Castro International Airport
SBRF;Recife/Guararapes-Gilberto Freyre International Airport
SBRG;Rio Grande Regional Airport
SBRJ;Rio de Janeiro Santos Dumont Airport
SBRP;Leite Lopes Airport
SBRR;Barreirinhas Airport
SBSJ;Professor Urbano Ernesto Stumpf International Airport
SBSL;Marechal Cunha Machado International Airport
SBSM;Santa Maria Airport (Rio Grande do Sul)
SBSN;Santarem-Maestro Wilson Fonseca Airport
SBSP;Sao Paulo Congonhas Airport
SBSR;Prof. Eribelto Manoel Reino State Airport
SBST;Santos Air Force Base
SBSV;Deputado Luis Eduardo Magalhaes International Airport
SBTB;Porto Trombetas Airport
SBTC;Una-Comandatuba Airport
SBTD;Luiz dal Canalle Filho Airport
SBTE;Teresina-Senador Petronio Portel Airport
SBTF;Tefe Airport
SBTG;Plinio Alarcom Airport
SBTK;Jose Galera dos Santos Airport
SBTL;Telemaco Borba Airport
SBTR;Torres Airport
SBTT;Tabatinga International Airport
SBTU;Tucurui Airport
SBUA;Sao Gabriel da Cachoeira Airport
SBUF;Paulo Afonso Airport
SBUG;Rubem Berta International Airport
SBUL;Ten. Cel. Av. Cesar Bombonato Airport
SBUP;Castilho Airport (Urubupunga Airport)
SBUR;Mario de Almeida Franco Airport
SBVG;Major Brigadeiro Trompowsky Airport
SBVH;Vilhena Airport (Brigadeiro Camarao Airport)
SBVT;Eurico de Aguiar Salles Airport
SBZM;Presidente Itamar Franco Airport (Zona da Mata Regional Airport)
SDAM;Campo dos Amarais Airport
SDCG;Senadora Eunice Michiles Airport
SDCO;Sorocaba Airport
SDJL;Jales Airport
SDOU;Jornalista Benedito Pimentel-Ourinhos State Airport
SDOW;Ourilandia do Norte Airport
SDRS;Resende Airport
SDSC;Mario Pereira Lopes Airport
SDUB;Ubatuba Airport
SDUN;Itaperuna Airport
SDVG;Votuporanga Airport (Domingos Pignatari Airport)
SILC;Bom Futuro Municipal Airport
SIMK;Franca Airport (Ten. Lund Presotto-Franca State Airport)
SIZX;Mauro Luiz Frizon Airport
SJNP;Novo Progresso Airport
SNAI;Alto Parnaiba Airport
SNAL;Arapiraca Airport
SNAR;Almenara Airport
SNBC;Barra do Corda Airport
SNBL;Belmonte Airport
SNBR;Barreiras Airport
SNBS;Balsas Airport
SNBU;Socrates Mariani Bittencourt Airport
SNBX;Barra Airport (Brazil)
SNCP;Carutapera Airport
SNCP;Planalto Serrano Correia Regional Airport
SNDC;Redencao Airport
SNDN;Leopoldina Airport
SNDT;Diamantina Airport
SNDV;Divinopolis Airport (Brigadeiro Cabral Airport)
SNED;Canavieiras Airport
SNFX;Sao Felix do Xingu Airport
SNGA;Guarapari Airport
SNGD;Guadalupe Airport
SNGI;Guanambi Airport
SNGM;Guimaraes Airport
SNGN;Garanhuns Airport
SNHA;Itabuna Airport
SNHS;Serra Talhada Santa Magalhaes Regional Airport
SNIC;Irece Airport
SNIU;Ipiau Airport
SNJB;Jacobina Airport
SNJD;Feira de Santana Airport (Gov. Joao Durval Carneiro Airport)
SNJK;Jequie Airport
SNJN;Januaria Airport
SNJR;Prefeito Octavio de Almeida Neves Airport
SNKE;Santana do Araguaia Airport
SNKI;Cachoeiro de Itapemirim Airport (Raimundo de Andrade Airport)
SNLB;Livramento do Brumado Airport
SNLO;Sao Lourenco Airport
SNMA;Monte Alegre Airport
SNMU;Mucuri Airport
SNMX;Sao Mateus Airport
SNMZ;Porto de Moz Airport
SNNU;Nanuque Airport
SNOS;Municipal José Figueiredo Airport
SNOU;Feijo Airport
SNOX;Oriximina Airport
SNPC;Picos Airport
SNPD;Pedro Pereira dos Santos Airport
SNPX;Pirapora Airport
SNQG;Cangapara Airport
SNRD;Prado Airport
SNRU;Caruaru Airport (Oscar Laranjeiras Airport)
SNSW;Soure Airport
SNTF;Teixeira de Freitas Airport (9 de maio Airport)
SNTI;Obidos Airport
SNTO;Teofilo Otoni Airport (Juscelino Kubitscheck Airport)
SNVB;Valenca Airport
SNVS;Breves Airport
SNWC;Camocim Airport
SNYA;Almeirim Airport
SNYE;Pinheiro Airport
SNZA;Pouso Alegre Airport
SNZW;Itubera Airport
SSAP;Apucarana Airport
SSBL;Blumenau Airport
SSCK;Concordia Airport
SSCL;Cassilandia Airport
SSCN;Canela Airport
SSCP;Cornelio Procopio Airport
SSCT;Gastao Mesquita Airport
SSDO;Dourados Airport (Francisco de Matos Pereira Airport)
SSER;Erechim Airport
SSFB;Francisco Beltrao Airport (Paulo Abdala Airport)
SSGY;Guaira Airport
SSHZ;Horizontina Airport
SSIJ;Joao Batista Bos Filho Airport
SSIQ;Itaqui Airport
SSJA;Santa Terezinha Municipal Airport
SSKM;Campo Mourao Airport
SSKW;Capital do Cafe Airport
SSLN;Helmuth Baungartem Airport
SSLT;Alegrete Airport
SSOE;Helio Wasum Airport
SSOG;Arapongas Airport
SSOU;Aripuana Airport
SSPB;Juvenal Loureiro Cardoso Airport
SSPG;Santos Dumont Airport
SSPI;Edu Chaves Airport
SSPN;Paranaiba Airport
SSRU;Sao Lourenco do Sul Airport
SSSC;Santa Cruz do Sul Airport
SSUM;Orlando de Carvalho Airport
SSUV;Uniao da Vitoria Airport
SSVI;Angelo Ponzoni Municipal Airport
SSVP;Santa Vitoria do Palmar Airport
SSYA;Avelino Vieira Airport
SSZR;Santa Rosa Airport (Brazil)
SSZW;Comte. Antonio Amilton Beraldo Airport
SWBC;Barcelos Airport
SWBR;Borba Airport
SWCA;Carauari Airport
SWCQ;Costa Marques Airport
SWDM;Diamantino Airport
SWDN;Dianopolis Airport
SWEC;Aragarcas Airport
SWEI;Eirunepe Airport (Amaury Feitosa Tomaz Airport)
SWEK;Canarana Airport
SWFX;Sao Felix do Araguaia
SWGI;Gurupi Airport
SWGN;Araguaina Airport
SWHP;Agua Boa Airport
SWHT;Francisco Correa da Cruz Airport
SWII;Ipiranga Airport
SWIY;Santa Isabel do Morro Airport
SWJI;Jose Coleto Airport
SWJN;Juina Airport
SWJU;Juruena Airport
SWJW;Jatai Airport
SWKC;Caceres Airport
SWKO;Coari Airport
SWKT;Catalao Airport
SWLB;Labrea Airport
SWLC;General Leite de Castro Airport
SWMW;Maues Airport
SWNA;Novo Aripuana Airport
SWNK;Novo Campo Airport
SWNQ;Niquelandia Air
SWNS;Anapolis Airport
SWOB;Fonte Boa Airport
SWPG;Aeroporto de Porto dos Gauchos Airport
SWPI;Julio Belem
SWPM;Pimenta Bueno Airport
SWPQ;Fazenda Piraguassu Airport
SWRA;Arraias Airport
SWRD;Maestro Marinho Franco Airport
SWSI;Presidente Joao Figueiredo Airport
SWSN;Sena Madureira Airport
SWST;Santa Terezinha Airport
SWTP;Tapuruquara Airport
SWTS;Tangara da Serra Airport
SWTU;Fazenda Tucunare Airport
SWUA;Sao Miguel do Araguaia Airport
SWVB;Mato Grosso Airport
SWVC;Vila Rica Municipal Airport
SWXM;Orlando Villas-Boas Regional Airport
SWXV;Nova Xavantina Airport
MYAB;Clarence A. Bain Airport
MYAF;Andros Town International Airport
MYAK;South Andros Airport
MYAM;Marsh Harbour Airport
MYAN;San Andros Airport
MYAP;Spring Point Airport
MYAT;Treasure Cay Airport
MYAW;Walker's Cay Airport
MYBC;Chub Cay International Airport
MYBG;Great Harbour Cay Airport
MYBS;South Bimini Airport
MYCA;Arthur's Town Airport
MYCB;New Bight Airport
MYCC;Cat Cay Airport
MYCI;Colonel Hill Airport (Crooked Island Airport)
MYCP;Pitts Town Airport
MYEF;Exuma International Airport
MYEH;North Eleuthera Airport
MYEM;Governor's Harbour Airport
MYEN;Norman's Cay Airport
MYER;Rock Sound International Airport
MYES;Staniel Cay Airport
MYGF;Grand Bahama International Airport
MYGW;West End Airport
MYIG;Inagua Airport (Matthew Town Airport)
MYLD;Deadman's Cay Airport
MYLS;Stella Maris Airport
MYMM;Mayaguana Airport (Abraham's Bay Airport)
MYNN;Lynden Pindling International Airport
MYRD;Duncan Town Airport
MYRP;Port Nelson Airport
MYSM;San Salvador Airport (Cockburn Town Airport)
VQBT;Bathpalathang Airport
VQGP;Gelephu Airport
VQPR;Paro International Airport
VQTY;Yongphulla Airport (Yonphula Airport)
FBFT;Francistown Airport
FBGZ;Ghanzi Airport
FBJW;Jwaneng Airport
FBKE;Kasane Airport
FBKR;Khwai River Airport
FBLO;Lobatse Airport
FBMN;Maun Airport
FBOR;Orapa Airport
FBSK;Sir Seretse Khama International Airport
FBSN;Sua Pan Airport
FBSP;Selebi-Phikwe Airport
FBSV;Savuti Airport
FBSW;Shakawe Airport
FBTL;Tuli Lodge Airport
FBTS;Tshabong Airport
UMBB;Brest Airport
UMGG;Gomel Airport
UMII;Vitebsk Vostochny Airport
UMMG;Grodno Airport
UMMM;Minsk-1 Airport
UMMS;Minsk National Airport
UMOO;Mogilev Airport
MZBZ;Philip S. W. Goldson International Airport
MZPL;Placencia Airport
CBBC;Bella Bella (Campbell Island) Airport
CYAB;Arctic Bay Airport
CYAC;Cat Lake Airport
CYAD;La Grande-3 Airport
CYAG;Fort Frances Municipal Airport
CYAH;La Grande-4 Airport
CYAL;Alert Bay Airport
CYAM;Sault Ste. Marie Airport
CYAQ;Kasabonika Airport
CYAS;Kangirsuk Airport
CYAT;Attawapiskat Airport
CYAY;St. Anthony Airport
CYAZ;Tofino/Long Beach Airport
CYBA;Banff Airport
CYBB;Kugaaruk Airport
CYBC;Baie-Comeau Airport
CYBD;Bella Coola Airport
CYBE;Uranium City Airport
CYBF;Bonnyville Airport
CYBG;Canadian Forces Base Bagotville
CYBH;Bull Harbour Waterdrome
CYBK;Baker Lake Airport
CYBL;Campbell River Airport
CYBQ;Tadoule Lake Airport
CYBR;Brandon Municipal Airport (McGill Field)
CYBT;Brochet Airport
CYBV;Berens River Airport
CYBX;Lourdes-de-Blanc-Sablon Airport
CYCA;Cartwright Airport
CYCB;Cambridge Bay Airport
CYCC;Cornwall Regional Airport
CYCD;Nanaimo Airport
CYCE;Centralia/James T. Field Memorial Aerodrome
CYCG;West Kootenay Regional Airport (Castlegar Airport)
CYCH;Miramichi Airport
CYCK;Chatham-Kent Airport
CYCL;Charlo Airport
CYCN;Cochrane Aerodrome
CYCO;Kugluktuk Airport
CYCQ;Chetwynd Airport
CYCR;Cross Lake (Charlie Sinclair Memorial) Airport
CYCS;Chesterfield Inlet Airport
CYCT;Coronation Airport
CYCW;Chilliwack Airport
CYCY;Clyde River Airport
CYCZ;Fairmont Hot Springs Airport
CYDA;Dawson City Airport
CYDB;Burwash Airport
CYDF;Deer Lake Regional Airport
CYDL;Dease Lake Airport
CYDM;Ross River Airport
CYDN;Lt. Col W.G. (Billy) Barker VC Airport
CYDO;Dolbeau-Saint-Felicien Airport
CYDP;Nain Airport
CYDQ;Dawson Creek Airport
CYEG;Edmonton International Airport
CYEK;Arviat Airport
CYEL;Elliot Lake Municipal Airport
CYEM;Manitowaning/Manitoulin East Municipal Airport
CYEN;Estevan Regional Aerodrome
CYER;Fort Severn Airport
CYET;Edson Airport
CYEU;Eureka Aerodrome
CYEV;Inuvik (Mike Zubko) Airport
CYEY;Amos/Magny Airport
CYFA;Fort Albany Airport
CYFB;Iqaluit Airport
CYFC;Fredericton International Airport
CYFE;Forestville Airport
CYFH;Fort Hope Airport
CYFJ;Mont Tremblant International Airport
CYFO;Flin Flon Airport
CYFR;Fort Resolution Airport
CYFS;Fort Simpson Airport
CYFT;Makkovik Airport
CYGB;Texada/Gillies Bay Airport
CYGH;Fort Good Hope Airport
CYGK;Kingston/Norman Rogers Airport
CYGL;La Grande Riviere Airport
CYGM;Gimli Industrial Park Airport
CYGO;Gods Lake Narrows Airport
CYGP;Michel-Pouliot Gaspe Airport
CYGQ;Geraldton (Greenstone Regional) Airport
CYGR;Iles-de-la-Madeleine Airport
CYGT;Igloolik Airport
CYGV;Havre Saint-Pierre Airport
CYGW;Kuujjuarapik Airport
CYGX;Gillam Airport
CYGZ;Grise Fiord Airport
CYHA;Quaqtaq Airport
CYHB;Hudson Bay Airport
CYHC;Vancouver Harbour Flight Centre (Coal Harbour Seaplane Base)
CYHD;Dryden Regional Airport
CYHE;Hope Aerodrome
CYHF;Hearst Municipal Airport
CYHH;Nemiscau Airport
CYHI;Ulukhaktok/Holman Airport
CYHK;Gjoa Haven Airport
CYHM;John C. Munro Hamilton International Airport
CYHN;Hornepayne Municipal Airport
CYHO;Hopedale Airport
CYHP;Poplar Hill Airport
CYHR;Chevery Airport
CYHT;Haines Junction Airport
CYHU;Montreal Saint-Hubert Longueuil Aiport
CYHY;Hay River/Merlyn Carter Airport
CYHZ;Halifax Stanfield International Airport
CYIB;Atikokan Municipal Airport
CYID;Digby/Annapolis Regional Airport
CYIF;Saint-Augustin Airport
CYIK;Ivujivik Airport
CYIO;Pond Inlet Airport
CYIV;Island Lake Airport (Garden Hill Airport)
CYJA;Jasper Airport
CYJF;Fort Liard Airport
CYJN;Saint-Jean Airport
CYJT;Stephenville International Airport
CYKA;Kamloops Airport
CYKC;Collins Bay Airport
CYKD;Aklavik/Freddie Carmichael Airport
CYKF;Region of Waterloo International Airport
CYKG;Kangiqsujuaq (Wakeham Bay) Airport
CYKJ;Key Lake Airport
CYKL;Schefferville Airport
CYKM;Kincardine Municipal Airport
CYKO;Akulivik Airport
CYKP;Ogoki Post Airport
CYKQ;Waskaganish Airport
CYKX;Kirkland Lake Airport
CYKY;Kindersley Regional Airport
CYLA;Aupaluk Airport
CYLB;Lac La Biche Airport
CYLC;Kimmirut Airport
CYLD;Chapleau Airport
CYLH;Lansdowne House Airport
CYLJ;Meadow Lake Airport
CYLK;Lutselk'e Airport
CYLL;Lloydminster Airport
CYLP;Mingan Airport
CYLQ;La Tuque Airport
CYLR;Leaf Rapids Airport
CYLS;Lake Simcoe Regional Airport
CYLT;Alert Airport
CYLU;Kangiqsualujjuaq (Georges River) Airport
CYLW;Kelowna International Airport
CYMA;Mayo Airport
CYMD;Mould Bay Airport
CYME;Matane Airport
CYMG;Manitouwadge Airport
CYMH;Mary's Harbour Airport
CYMJ;CFB Moose Jaw (C.M. McEwen Airport)
CYML;Charlevoix Airport
CYMM;Fort McMurray International Airport
CYMO;Moosonee Airport
CYMT;Chibougamau/Chapais Airport
CYMU;Umiujaq Airport
CYMW;Maniwaki Airport
CYMX;Montréal-Mirabel International Airport
CYNA;Natashquan Airport
CYNC;Wemindji Airport
CYND;Gatineau-Ottawa Executive Airport
CYNE;Norway House Airport
CYNH;Hudson's Hope Airport
CYNJ;Langley Regional Airport
CYNL;Points North Landing Airport
CYNM;Matagami Airport
CYNR;Fort MacKay/Horizon Airport
CYOA;Ekati Airport
CYOC;Old Crow Airport
CYOD;CFB Cold Lake (R.W. McNair Airport)
CYOH;Oxford House Airport
CYOJ;High Level Airport
CYOO;Oshawa Airport
CYOP;Rainbow Lake Airport
CYOS;Billy Bishop Regional Airport
CYOW;Ottawa Macdonald-Cartier International Airport
CYPA;Prince Albert (Glass Field) Airport
CYPC;Nora Aliqatchialuk Ruben Airport
CYPD;Port Hawkesbury Airport
CYPE;Peace River Airport
CYPG;Portage la Prairie/Southport Airport
CYPH;Inukjuak Airport
CYPL;Pickle Lake Airport
CYPM;Pikangikum Airport
CYPN;Port-Menier Airport
CYPO;Peawanuck Airport
CYPQ;Peterborough Airport
CYPR;Prince Rupert Airport
CYPW;Powell River Airport
CYPX;Puvirnituq Airport
CYPY;Fort Chipewyan Airport
CYPZ;Burns Lake Airport
CYQA;Muskoka Airport
CYQB;Quebec City Jean Lesage International Airport
CYQD;The Pas Airport
CYQF;Red Deer Regional Airport
CYQG;Windsor International Airport
CYQH;Watson Lake Airport
CYQI;Yarmouth Airport
CYQK;Kenora Airport
CYQL;Lethbridge Airport
CYQM;Greater Moncton International Airport
CYQN;Nakina Airport
CYQQ;CFB Comox
CYQR;Regina International Airport
CYQS;St. Thomas Municipal Airport
CYQT;Thunder Bay International Airport
CYQU;Grande Prairie Airport
CYQV;Yorkton Municipal Airport
CYQW;North Battleford Airport (Cameron McIntosh Airport)
CYQX;Gander International Airport / CFB Gander
CYQY;Sydney/J.A. Douglas McCurdy Airport
CYQZ;Quesnel Airport
CYRA;Gameti/Rae Lakes Airport
CYRB;Resolute Bay Airport
CYRI;Riviere-du-Loup Airport
CYRJ;Roberval Airport
CYRL;Red Lake Airport
CYRM;Rocky Mountain House Airport
CYRO;Ottawa/Rockcliffe Airport
CYRQ;Trois-Rivieres Airport
CYRS;Red Sucker Lake Airport
CYRT;Rankin Inlet Airport
CYRV;Revelstoke Airport
CYSB;Sudbury Airport
CYSC;Sherbrooke Airport
CYSD;CFB Suffield
CYSE;Squamish Airport
CYSF;Stony Rapids Airport
CYSH;Smiths Falls-Montague Airport
CYSJ;Saint John Airport
CYSK;Sanikiluaq Airport
CYSL;Saint-Leonard Aerodrome
CYSM;Fort Smith Airport
CYSN;St. Catharines/Niagara District Airport
CYSP;Marathon Aerodrome
CYST;St. Theresa Point Airport
CYSU;Summerside Airport
CYSY;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
CYTA;Pembroke Airport
CYTE;Cape Dorset Airport
CYTF;Alma Airport
CYTH;Thompson Airport
CYTL;Big Trout Lake Airport
CYTQ;Tasiujaq Airport
CYTR;CFB Trenton
CYTS;Timmins/Victor M. Power Airport
CYTZ;Billy Bishop Toronto City Airport
CYUB;Tuktoyaktuk/James Gruben Airport
CYUL;Montréal-Pierre Elliott Trudeau International Airport
CYUT;Repulse Bay Airport
CYUX;Hall Beach Airport
CYUY;Rouyn-Noranda Airport
CYVB;Bonaventure Airport
CYVC;La Ronge (Barber Field) Airport
CYVG;Vermilion Airport
CYVK;Vernon Regional Airport
CYVL;Colville Lake/Tommy Kochon Aerodrome
CYVM;Qikiqtarjuaq Airport
CYVN;Cape Dyer Airport
CYVO;Val-d'Or Airport
CYVP;Kuujjuaq Airport
CYVQ;Norman Wells Airport
CYVR;Vancouver International Airport
CYVT;Buffalo Narrows Airport
CYVV;Wiarton Airport
CYVZ;Deer Lake Airport
CYWA;Petawawa Airport
CYWE;Wekweeti Airport
CYWG;Winnipeg James Armstrong Richardson International Airport
CYWH;Victoria Harbour Water Airport
CYWJ;Deline Airport
CYWK;Wabush Airport
CYWL;Williams Lake Airport
CYWP;Webequie Airport
CYWY;Wrigley Airport
CYXC;Cranbrook/Canadian Rockies International Airport
CYXE;Saskatoon John G. Diefenbaker International Airport
CYXH;Medicine Hat Airport
CYXJ;Fort St. John Airport (North Peace Airport)
CYXK;Rimouski Airport
CYXL;Sioux Lookout Airport
CYXN;Whale Cove Airport
CYXP;Pangnirtung Airport
CYXQ;Beaver Creek Airport
CYXR;Earlton (Timiskaming Regional) Airport
CYXS;Prince George Airport
CYXT;Northwest Regional Airport
CYXU;London International Airport
CYXX;Abbotsford International Airport
CYXY;Erik Nielsen Whitehorse International Airport
CYXZ;Wawa Airport
CYYB;North Bay/Jack Garland Airport
CYYC;Calgary International Airport
CYYD;Smithers Airport
CYYE;Northern Rockies Regional Airport
CYYF;Penticton Regional Airport
CYYG;Charlottetown Airport
CYYH;Taloyoak Airport
CYYI;Rivers Airport
CYYJ;Victoria International Airport
CYYL;Lynn Lake Airport
CYYM;Cowley Airport
CYYN;Swift Current Airport
CYYQ;Churchill Airport
CYYR;CFB Goose Bay
CYYT;St. John's International Airport
CYYU;Kapuskasing Airport
CYYW;Armstrong Airport
CYYY;Mont-Joli Airport
CYYZ;Toronto Pearson International Airport
CYZE;Gore Bay-Manitoulin Airport
CYZF;Yellowknife Airport
CYZG;Salluit Airport
CYZH;Slave Lake Airport
CYZP;Sandspit Airport
CYZR;Sarnia Chris Hadfield Airport
CYZS;Coral Harbour Airport
CYZT;Port Hardy Airport
CYZU;Whitecourt Airport
CYZV;Sept-Iles Airport
CYZW;Teslin Airport
CYZX;CFB Greenwood
CZAC;York Landing Airport
CZAM;Salmon Arm Airport
CZBB;Boundary Bay Airport
CZBD;Ilford Airport
CZBF;Bathurst Airport (New Brunswick)
CZBM;Roland-Desourdy Airport
CZEE;Kelsey Airport
CZEM;Eastmain River Airport
CZFA;Faro Airport (Yukon)
CZFD;Fond-du-Lac Airport
CZFG;Pukatawagan Airport
CZFM;Fort McPherson Airport
CZFN;Tulita Airport
CZGF;Grand Forks Airport
CZGI;Gods River Airport
CZGR;Little Grand Rapids Airport
CZHP;High Prairie Airport
CZJG;Jenpeg Airport
CZJN;Swan River Airport
CZKE;Kashechewan Airport
CZLQ;Thicket Portage Airport
CZMD;Muskrat Dam Airport
CZML;South Cariboo Regional Airport
CZMN;Pikwitonei Airport
CZMT;Masset Airport
CZNG;Poplar River Airport
CZPB;Sachigo Lake Airport
CZPC;Pincher Creek Airport
CZPO;Pinehouse Lake Airport
CZRJ;Round Lake (Weagamow Lake) Airport
CZSJ;Sandy Lake Airport
CZSN;South Indian Lake Airport
CZST;Stewart Aerodrome
CZSW;Prince Rupert/Seal Cove Water Airport
CZTA;Bloodvein River Airport
CZTM;Shamattawa Airport
CZUC;Ignace Municipal Airport
CZUM;Churchill Falls Airport
CZWH;Lac Brochet Airport
CZWL;Wollaston Lake Airport
